"appid","name","description","status","deployment"
"A008","Lotus","Lotus Domino/Notes collaboration platform","decommissioned","onprem"
"A010","Collaboration platform","File sharing, office, productivity","production","onprem"
"A012","CRM","Customer relationship management","production","onprem"
"A013","Portal","Enterprise portal for employees","deprecated","onprem"
"A015","Website","Public website","production","cloud"
"A019","Project Management","Project management platform","production","onprem"
"A020","Portman","Portfolio management application","production","onprem"
"A022","SurveyBeast","Management of surveys and campaigns","production","cloud"
"A028","Claude","Cloud chatbot","production","cloud"
"A029","Jabberwock","Local AI chatbot","pilot","onprem"
"A032","BI","Planned business intelligence platform","planned","cloud"
"A033","EDR","Endpoint Detection and Response","planned","onprem"
